estc_id,total_illustration_density,total_price
N6106,0.25,12.0
N61074,0.05454545454545454,60.0
N6233,0.17857142857142858,12.0
N63918,0.06818181818181818,12.0
N65052,0.13114754098360656,24.0
N67250,0.08163265306122448,144.0
N67364,0.7286245353159851,126.0
N67562,0.028846153846153848,20.0
N68038,0.0064516129032258064,72.0
N6836,0.006622516556291391,24.0
N68624,0.1794871794871795,30.0
N68848,0.08333333333333333,30.0
N6962,0.2111111111111111,24.0
N7235,0.0196078431372549,60.0
N7432,0.09090909090909091,30.0
N7469,0.0031446540880503146,360.0
N7623,0.21428571428571427,6.0
N783,0.7142857142857143,12.0
N7849,0.35294117647058826,6.0
N797,0.0029850746268656717,504.0
N814,0.3333333333333333,6.0
N8712,0.08695652173913043,6.0
N9842,0.55,12.0
N9935,0.18181818181818182,6.0
T100271,0.35555555555555557,12.0
T100275,0.10638297872340426,18.0
T100528,0.6326530612244898,30.0
T100613,0.017857142857142856,18.0
T100838,0.1111111111111111,4.0
T100932,0.35714285714285715,252.0
T100962,0.5576923076923077,54.0
T100975,0.06542056074766354,30.0
T10116,0.0425531914893617,30.0
T101386,0.0024630541871921183,252.0
T101429,0.17647058823529413,4.0
T101564,0.028855428142749974,180.0
T102012,0.41025641025641024,504.0
T102333,0.024691358024691357,24.0
T103015,0.125,6.0
T103150,0.125,6.0
T103336,0.3125,30.0
T103354,0.21739130434782608,12.0
T103362,0.10526315789473684,12.0
T103557,0.11363636363636363,24.0
T104090,0.0625,8.0
T104172,0.2631578947368421,6.0
T105376,0.40540540540540543,4.0
T106027,0.2842377260981912,360.0
T106218,0.25,6.0
T106269,0.2,3.0
T106326,0.04938271604938271,72.0
T10662,0.3076923076923077,6.0
T106763,0.2,12.0
T106923,0.05333333333333334,30.0
T107010,0.03535353535353535,192.0
T107132,0.02824858757062147,54.0
T107540,0.038461538461538464,18.0
T107821,0.1,12.0
T108288,0.08333333333333333,6.0
T109036,0.2,3.0
T109351,0.1509433962264151,126.0
T109352,0.011764705882352941,144.0
T109496,0.029605263157894735,126.0
T110070,0.04365079365079365,72.0
T110176,0.14583333333333334,48.0
T11029,0.007751937984496124,42.0
T110474,0.11764705882352941,6.0
T110562,0.008620689655172414,42.0
T111042,0.025906735751295335,42.0
T1117,0.02857142857142857,24.0
T111906,0.45652173913043476,48.0
T112247,0.6096491228070176,60.0
