t-SNE1,t-SNE2,Image,ecco_id,estc_id,total_price
0.1266807,2.007259,155720010301440,1557200103,T192639,756.0
-0.8918551,-0.44986424,171230130101000,1712301301,T77908,90.0
-0.8918551,-0.44986424,171230130101000,1712301301,T77908,90.0
-1.2049391,-0.8892873,171230130100810,1712301301,T77908,90.0
1.5237724,-0.49581262,036220180002640,362201800,T133351,18.0
-0.5770929,-0.293038,171230130100960,1712301301,T77908,90.0
-0.5770929,-0.293038,171230130100960,1712301301,T77908,90.0
0.098799326,-0.49600035,126280120000400,1262801200,N3839,60.0
-0.1342705,0.29630762,133230120001420,1332301200,N40349,24.0
-0.04022344,-0.7403566,126280120000300,1262801200,N3839,60.0
0.8425684,0.16276056,060840060003260,608400600,T95727,30.0
0.7789997,0.2751021,013910020000800,139100200,T18586,180.0
-0.32354453,1.1619383,133230130001110,1332301300,N36448,36.0
2.1142185,-0.45155743,013910020002540,139100200,T18586,180.0
-0.6306711,0.6996001,081130060000010,811300600,T126686,6.0
0.16872185,0.008265775,086730020001050,867300200,T66029,54.0
0.16872185,0.008265775,086730020001050,867300200,T66029,54.0
0.16872185,0.008265775,086730020001050,867300200,T66029,54.0
1.8253068,-0.47486866,036220180002650,362201800,T133351,18.0
0.115463994,0.18513204,086730020000870,867300200,T66029,54.0
-1.1180985,-0.6565482,171230130100170,1712301301,T77908,90.0
-1.1180985,-0.6565482,171230130100170,1712301301,T77908,90.0
0.02909607,0.21010251,086730020000670,867300200,T66029,54.0
-0.6342542,-0.45796394,171230130106790,1712301301,T77908,90.0
-0.6342542,-0.45796394,171230130106790,1712301301,T77908,90.0
-0.72551364,1.3355302,026020040000010,260200400,T63197,324.0
-0.61225235,1.6361179,157060010203760,1570600102,T59882,600.0
0.053537674,-0.3781396,126280120000750,1262801200,N3839,60.0
0.053537674,-0.3781396,126280120000750,1262801200,N3839,60.0
2.116758,-0.43841723,013910020002560,139100200,T18586,180.0
-0.92045486,-1.0801024,171230130100250,1712301301,T77908,90.0
-0.92045486,-1.0801024,171230130100250,1712301301,T77908,90.0
0.48956305,-0.1398669,052140010003740,521400100,T139023,60.0
0.48956305,-0.1398669,052140010003740,521400100,T139023,60.0
1.8027352,-0.8514039,036220180002050,362201800,T133351,18.0
-0.2809317,-0.66476893,018010030002370,180100300,T87972,72.0
1.7506987,-0.19681023,018010030002590,180100300,T87972,72.0
1.7506987,-0.19681023,018010030002590,180100300,T87972,72.0
-0.8494807,-0.22772926,171230130100490,1712301301,T77908,90.0
-0.8494807,-0.22772926,171230130100490,1712301301,T77908,90.0
-1.3969731,-0.6494741,171230130100150,1712301301,T77908,90.0
-1.0338929,-0.095857844,171230130100530,1712301301,T77908,90.0
-1.0338929,-0.095857844,171230130100530,1712301301,T77908,90.0
-1.0338929,-0.095857844,171230130100530,1712301301,T77908,90.0
0.4664095,-0.11078633,052140010003750,521400100,T139023,60.0
-1.1936169,-0.37616652,171230130101040,1712301301,T77908,90.0
-1.1936169,-0.37616652,171230130101040,1712301301,T77908,90.0
-1.1337156,-1.1474706,171230130100710,1712301301,T77908,90.0
-1.1337156,-1.1474706,171230130100710,1712301301,T77908,90.0
1.4441596,-0.40990576,036220180000470,362201800,T133351,18.0
1.6429496,-0.76622033,036220180000910,362201800,T133351,18.0
-0.42774084,1.5731921,157060010203000,1570600102,T59882,600.0
1.4848568,-0.46725973,036220180000380,362201800,T133351,18.0
1.9619653,-0.5597502,013910020002480,139100200,T18586,180.0
-1.3369688,-1.22002,171230130101280,1712301301,T77908,90.0
-1.3369688,-1.22002,171230130101280,1712301301,T77908,90.0
0.28252906,1.947721,155720010403740,1557200104,T192639,756.0
