ecco_id,image_count
0014300102,12
0014300103,18
0014300200,7
0014400200,7
0014400301,124
0014400302,147
0014400400,4
0014400500,2
0014400600,6
0014400700,1
0014500200,5
0014500300,15
0014500400,3
0014500700,3
0014500800,3
0014600200,18
0014600300,1
0014601200,16
0014601300,1
0014700101,2
0014700102,1
0014700105,1
0014700106,1
0014800100,4
0014800201,5
0014800202,3
0014900401,10
0014900402,9
0014900403,12
0014900404,12
0014900405,13
0014900406,4
0014900407,13
0014900408,8
0015000109,7
0015000110,4
0015000111,6
0015000112,3
0015000200,59
0015000301,3
0015000302,4
0015100400,18
0015100501,17
0015100502,9
0015100600,1
0015100700,4
0015200101,18
0015200102,18
0015200200,1
0015200301,1
0015200302,1
0015300102,1
0015300104,1
0015400300,52
0015400400,65
0015400500,1
0015400600,3
0015400700,1
0015400800,3
0015401001,1
0015401100,1
0015500100,6
0015500300,6
0015500500,7
0015500600,1
0015500700,55
0015500801,5
0015600102,1
0015600103,4
0015600104,3
0015600105,1
0015600107,2
0015600108,1
0015600109,2
0015700110,1
0015700200,4
0015700300,44
0015700500,13
0015700900,5
0015701100,10
0015701204,7
0015701205,4
0015800105,1
0015800106,1
0015900107,1
0015900108,2
0015900109,1
0015900110,1
0015900111,2
0016000200,1
0016000602,1
0016100102,1
0016100201,10
0016100202,2
0016100308,4
0016100411,9
0016100412,8
0016100501,51
0016100502,39
0016100601,4
0016100602,3
0016100603,3
0016100700,5
0016200201,1
0016300201,1
0016300301,3
0016300302,2
0016300402,1
0016300403,1
0016400101,1
0016400201,47
0016400202,33
0016400301,13
0016400302,11
0016400401,3
0016400500,1
0016500401,31
0016500402,21
0016500403,3
0016500404,11
0016500501,2
0016500502,2
0016500600,6
0016500701,31
0016500702,37
0016500800,11
0016600500,2
0016600700,1
0016600901,1
0016600902,1
0016601000,7
0016700400,6
0016700601,3
0016700602,3
0016800101,2
0016800102,2
0016800302,1
0016800600,21
0016800700,4
0016900101,1
0016900201,2
0016900202,2
0016900600,1
0016900700,2
0017000101,19
0017000102,16
0017000103,7
0017000104,15
0017000301,1
0017000302,1
0017000500,2
0017100103,1
0017100105,1
0017100107,1
0017200101,8
0017200102,5
0017200200,50
0017200300,2
0017200500,28
0017200600,1
0017200801,6
0017200802,2
0017200900,29
0017201000,1
0017201100,7
0017300101,3
0017300102,3
0017300200,56
0017300300,4
0017300701,3
0017300702,3
0017300703,3
0017300704,4
0017300801,2
0017300802,1
0017400101,3
0017400102,2
0017400103,1
0017500102,1
0017500200,1
